container,ship,workcode,state,year,voyage,block1,bay1,row1,tier1,block2,bay2,row2,tier2,truck_num,full_or_empty,container_size,crane,time_end
YBQM2657068,UXAF,VU,load,2023,15,7D,18,0,0,7D,,,,393,F,22,254,2023-04-06 08:31:30
XMII4550272,RZSG,VU,load,2023,29,8A,27,0,0,8A,,,,349,F,45,255,2023-04-06 08:40:01
RDKH4955190,UXAF,VU,load,2023,15,7D,17,0,0,7D,,,,388,F,22,254,2023-04-06 08:32:10
UYEU4740422,UXAF,VU,load,2023,15,7D,18,0,0,7D,,,,388,F,22,254,2023-04-06 08:34:10
RBNO1921222,MPFG,TS,change,2023,17,8B,21,5,5,8B,,,,999,F,45,256,2023-04-06 08:33:45
WLAS7317066,YOSU,TS,change,2023,17,8C,23,4,3,8C,,,,999,F,22,257,2023-04-06 08:34:46
YLEK8987254,YOSU,GD,unload,2023,17,8C,23,4,2,8C,,,,999,F,22,257,2023-04-06 08:33:51
CEAC0419235,YOSU,TS,change,2023,17,7B,31,8,4,7B,,,,999,F,45,252,2023-04-06 08:32:49
JXSB1353399,ODLQ,TS,change,2023,28,8B,21,5,4,8B,,,,999,F,45,256,2023-04-06 08:34:52
WDTZ2839577,XQHP,TS,change,2023,21,7B,31,8,3,7B,,,,999,F,45,252,2023-04-06 08:36:55
SBEO5971899,KMXV,TS,change,2023,23,8B,21,3,5,8B,,,,999,F,45,256,2023-04-06 08:35:31
ONGH0096986,RZSG,VU,load,2023,29,8A,27,0,0,8A,,,,327,F,45,255,2023-04-06 08:37:02
XHRA3774331,UXAF,VU,load,2023,15,8D,1,0,0,8D,,,,396,F,22,258,2023-04-06 08:37:01
TTLE4020509,YOSU,GD,unload,2023,17,8C,31,3,1,8C,,,,999,F,22,257,2023-04-06 08:45:24
FFPL4174842,UXAF,VU,load,2023,15,8D,2,0,0,8D,,,,396,F,22,258,2023-04-06 08:36:02
CPQP3039797,TWYM,TS,change,2023,15,7B,31,8,2,7B,,,,999,F,45,252,2023-04-06 08:37:39
YHRM2558831,YOSU,TS,change,2023,17,8B,23,9,5,8B,,,,999,F,45,256,2023-04-06 08:37:15
WWIS7636245,RZSG,VU,load,2023,29,7D,18,0,0,7D,,,,311,F,22,254,2023-04-06 08:39:42
NTUC7757557,YOSU,TS,change,2023,17,8B,23,9,4,8B,,,,999,F,45,256,2023-04-06 08:40:08
IHWB6467054,UXAF,VU,load,2023,15,8A,27,0,0,8A,,,,398,F,45,255,2023-04-06 08:39:48
CSAV9790196,RZSG,VU,load,2023,29,7D,17,0,0,7D,,,,311,F,22,254,2023-04-06 08:39:16
YVHP0354297,UXAF,VU,load,2023,15,7D,17,0,0,7D,,,,343,F,22,254,2023-04-06 08:39:58
CSWM1780238,UXAF,VU,load,2023,15,7D,18,0,0,7D,,,,343,F,22,254,2023-04-06 08:42:07
DQKF1045968,GNOR,TS,change,2023,16,8C,25,1,1,8C,,,,999,F,22,257,2023-04-06 08:42:16
YVPU8572573,TPCT,GD,unload,2023,22,8B,23,9,3,8B,,,,999,F,45,256,2023-04-06 08:43:07
CBKL1764196,UXAF,VU,load,2023,15,7D,17,0,0,7D,,,,388,F,22,254,2023-04-06 08:43:37
RZWP8885718,UXAF,VU,load,2023,15,7D,18,0,0,7D,,,,388,F,22,254,2023-04-06 08:43:39
JWOV0611563,TWYM,TS,change,2023,15,8C,27,1,1,8C,,,,999,F,22,257,2023-04-06 08:48:48
AGHS5155249,SSFG,TS,change,2023,23,7B,11,9,4,7B,,,,999,F,45,252,2023-04-06 08:46:10
NKEW1515420,UXAF,VU,load,2023,15,7D,17,0,0,7D,,,,396,F,22,254,2023-04-06 08:46:57
XSUU1889895,UXAF,VU,load,2023,15,8A,27,0,0,8A,,,,398,F,45,255,2023-04-06 08:47:56
BSJP6940001,UXAF,VU,load,2023,15,7D,18,0,0,7D,,,,396,F,22,254,2023-04-06 08:46:56
DRGE7810093,UXAF,VU,load,2023,15,8D,1,0,0,8D,,,,393,F,22,258,2023-04-06 08:47:30
UBGF9113991,UXAF,VU,load,2023,15,8D,2,0,0,8D,,,,393,F,22,258,2023-04-06 08:48:06
NKVG6005877,ODLQ,GD,unload,2023,29,7A,17,2,4,7A,,,,999,F,45,251,2023-04-06 08:47:47
ZZNG5647938,TPCT,GD,unload,2023,22,8B,21,5,3,8B,,,,999,F,45,256,2023-04-06 08:48:32
ORPT4240647,ODLQ,GD,unload,2023,29,7B,9,2,4,7B,,,,999,F,45,252,2023-04-06 08:49:13
QQIF7447026,TDJI,GD,unload,2023,16,8C,33,5,1,8C,,,,999,F,22,257,2023-04-06 08:50:28
OEOZ1373390,GNOR,GD,unload,2023,16,7D,11,2,3,7D,,,,999,F,22,254,2023-04-06 08:51:09
KNJP9328670,UXAF,VU,load,2023,15,8D,1,0,0,8D,,,,344,F,22,258,2023-04-06 08:49:16
OZLJ6740608,UXAF,VU,load,2023,15,8D,2,0,0,8D,,,,344,F,22,258,2023-04-06 08:51:35
UEWI0750653,RZSG,VU,load,2023,29,8A,19,0,0,8A,,,,331,F,45,255,2023-04-06 08:49:00
SKKL2957721,UXAF,VU,load,2023,15,8C,32,0,0,8C,,,,355,F,22,257,2023-04-06 08:52:32
ZEPF2166961,ESQU,TS,change,2023,21,8B,9,6,5,8B,,,,999,F,45,256,2023-04-06 08:51:54
OKXX5377577,UXAF,VU,load,2023,15,8D,1,0,0,8D,,,,343,F,22,258,2023-04-06 08:50:54
CIAL8631282,UXAF,VU,load,2023,15,8D,2,0,0,8D,,,,343,F,22,258,2023-04-06 08:52:58
TKGV9931204,GNOR,GD,unload,2023,16,7D,30,6,3,7D,,,,999,F,22,254,2023-04-06 08:52:42
RHZQ2964566,ODLQ,TS,change,2023,29,8A,25,3,5,8A,,,,999,F,45,255,2023-04-06 08:55:15
KCYV8612283,UXAF,TS,change,2023,15,7B,33,6,2,7B,,,,999,F,45,252,2023-04-06 08:55:02
KSPG6779436,UXAF,VU,load,2023,15,8C,25,0,0,8C,,,,388,F,22,257,2023-04-06 08:55:30
WIKC0133109,UXAF,VU,load,2023,15,8C,24,0,0,8C,,,,388,F,22,257,2023-04-06 08:56:12
XWCE8981982,RZSG,VU,load,2023,29,7D,30,0,0,7D,,,,351,F,22,254,2023-04-06 08:56:44
DLXK3332329,RZSG,VU,load,2023,29,7A,17,0,0,7A,,,,331,F,45,251,2023-04-06 08:59:20
BTEA4275443,UXAF,VU,load,2023,15,7D,30,0,0,7D,,,,397,F,22,254,2023-04-06 08:56:52
TENL2239468,RZSG,VU,load,2023,29,8D,1,0,0,8D,,,,350,F,22,258,2023-04-06 08:59:24
RQXP0836713,RZSG,VU,load,2023,29,8D,2,0,0,8D,,,,350,F,22,258,2023-04-06 09:00:00
LLDL0252697,TPCT,GD,unload,2023,22,7B,31,8,1,7B,,,,999,F,45,252,2023-04-06 08:57:54
SFMJ4536922,UXAF,VU,load,2023,15,7D,30,0,0,7D,,,,394,F,22,254,2023-04-06 08:58:40
YNSD8275659,ODLQ,GD,unload,2023,29,8A,25,3,4,8A,,,,999,F,45,255,2023-04-06 09:00:03
HNHC5970563,UXAF,VU,load,2023,15,7D,30,0,0,7D,,,,398,F,22,254,2023-04-06 09:01:31
VUNZ2060178,YOSU,TS,change,2023,17,7B,19,5,4,7B,,,,999,F,45,252,2023-04-06 09:01:38
XIIO4893060,RZSG,VU,load,2023,29,7D,30,0,0,7D,,,,346,F,22,254,2023-04-06 09:04:09
