order,container,ship,workcode,state,year,voyage,block1,bay1,row1,tier1,block2,bay2,row2,tier2,truck_num,full_or_empty,container_size,crane,time_end
1,GCQZ6281088,UXAF,VU,load,2023,5,7D,18,0,0,7D,18,3,2,393,F,22,254,2023-03-26 08:30:54
2,MGYU3581802,RZSG,VU,load,2023,19,8A,27,0,0,8A,27,6,5,349,F,45,255,2023-03-26 08:31:49
3,DZIH7753192,UXAF,VU,load,2023,5,7D,17,0,0,7D,17,3,3,388,F,22,254,2023-03-26 08:32:23
4,TCKB5479378,UXAF,VU,load,2023,5,7D,18,0,0,7D,18,3,3,388,F,22,254,2023-03-26 08:31:58
5,OYWT4984323,MPFG,TS,change,2023,7,8B,21,5,5,8B,21,6,2,999,F,45,256,2023-03-26 08:34:51
6,IHLA6163550,YOSU,TS,change,2023,7,8C,23,4,3,8C,23,9,2,999,F,22,257,2023-03-26 08:34:22
7,RNLJ0142164,YOSU,GD,unload,2023,7,8C,23,4,2,8C,23,0,0,999,F,22,257,2023-03-26 08:33:42
8,OGDA5923754,YOSU,TS,change,2023,7,7B,31,8,4,7B,31,2,5,999,F,45,252,2023-03-26 08:34:05
9,POYR4286838,ODLQ,TS,change,2023,18,8B,21,5,4,8B,21,6,3,999,F,45,256,2023-03-26 08:35:27
10,BYMM1300979,XQHP,TS,change,2023,11,7B,31,8,3,7B,31,1,5,999,F,45,252,2023-03-26 08:35:41
11,ZKWG4279172,KMXV,TS,change,2023,13,8B,21,3,5,8B,21,6,4,999,F,45,256,2023-03-26 08:37:17
12,YPVA3278443,RZSG,VU,load,2023,19,8A,27,0,0,8A,27,5,5,327,F,45,255,2023-03-26 08:35:01
13,JIEW9974917,UXAF,VU,load,2023,5,8D,1,0,0,8D,1,6,2,396,F,22,258,2023-03-26 08:41:31
14,DPNS6556121,YOSU,GD,unload,2023,7,8C,31,3,1,8C,31,0,0,999,F,22,257,2023-03-26 08:37:00
15,SNWJ9295770,UXAF,VU,load,2023,5,8D,2,0,0,8D,2,6,2,396,F,22,258,2023-03-26 08:38:00
